State,Automobiles_Private_Commercial_Including_Taxicabs,Automobiles_Publicly_Owned,Automobiles_Total,Buses_Private_Commercial,Buses_Publicly_Owned,Buses_Total,Trucks_Private_Commercial,Trucks_Publicly_Owned,Trucks_Total,Motorcycles_Private_Commercial,Motorcycles_Publicly_Owned,Motorcycles_Total,All_Motor_Vehicles_Private_Commercial,All_Motor_Vehicles_Publicly_Owned,All_Motor_Vehicles_Total
Alabama,2116626,44586,2161212,5634,133,5767,2955947,67261,3023208,109060,952,110012,5187267,112933,5300199
Alaska,179131,4139,183270,7856,617,8473,563583,16807,580390,31542,8,31550,782112,21572,803684
Arizona,2372443,19329,2391772,1391,6958,8349,3196426,39492,3235918,170271,3,170274,5740531,65782,5806313
Arkansas,908561,12600,921161,11290,716,12006,1765374,27477,1792851,91127,0,91127,2776352,40793,2817145
California,14820833,244994,15065827,34437,65255,99692,14739522,294443,15033965,808889,13955,822844,30403681,618647,31022328
Colorado,1782358,15819,1798177,5718,7585,13303,3314999,38670,3353669,190735,134,190869,5293810,62208,5356018
Connecticut,1305544,1165,1306709,11718,36,11753,1468599,5080,1473679,87640,20,87660,2873501,6301,2879802
Delaware,431850,1513,433363,3352,450,3802,540225,3006,543231,28071,0,28071,1003498,4970,1008468
Dist. of Col.,188768,20955,209723,1012,4076,5088,113705,19105,132810,3911,401,4312,307396,44537,351933
Florida,7851192,114899,7966091,24961,34596,59557,8733121,149734,8882855,584851,2648,587499,17194125,301877,17496002
Georgia,3502070,55399,3557469,11938,24376,36314,4630908,83891,4714799,203094,874,203968,8348010,164540,8512550
Hawaii,502165,7327,509492,1705,1231,2936,709347,14613,723960,30616,382,30998,1243833,23552,1267385
Idaho,596208,2566,598774,3228,580,3809,1200297,10257,1210554,66503,30,66533,1866236,13434,1879670
Illinois,4438811,38952,4477763,34464,185,34649,5694859,61875,5756734,319764,0,319764,10487898,101012,10588910
Indiana,2245862,3008,2248870,6836,14102,20937,3659528,10496,3670024,250882,22,250904,6163108,27628,6190736
Iowa,1230488,11731,1242219,3976,5381,9357,2221807,23903,2245710,194273,333,194606,3650544,41348,3691892
Kansas,970921,4250,975171,4192,2400,6592,1597068,10329,1607397,94802,48,94850,2666983,17027,2684010
Kentucky,1689705,32237,1721942,1438,9568,11006,2482756,51416,2534172,101085,80,101165,4274984,93301,4368285
